extensionName,alObjectName,TotalCalls,CallsPerHour,UniqueUsers,UniqueSessions,ErrorCount,MinutesSinceLastCall,LastCall [UTC],HealthStatus
Hagar Webshop,HAG VAT Posting Setup,28,1.2,1,1,0,4,"10/31/2025, 11:00:12.793 AM",✅ Healthy
Hagar Webshop,HAG Web Service,44,1.8,1,1,0,2,"10/31/2025, 11:02:41.344 AM",✅ Healthy
