eventId,clientType,alObjectType,alObjectId,alObjectName,extensionName,extensionPublisher,Count,PercentOfTotal,FirstSeen [UTC],LastSeen [UTC],AvgPerHour,AvgExecutionMs,MaxExecutionMs,SampleMessage
CL0001,Desktop,Page,27,Vendor List,,,1,0,"10/30/2025, 2:17:16.602 PM","10/30/2025, 2:17:16.602 PM",0,NaN,,
CL0001,Desktop,Page,10007616,Winn Role Center,,,1,0,"10/30/2025, 1:32:24.653 PM","10/30/2025, 1:32:24.653 PM",0,NaN,,
CL0001,Desktop,Page,-1,FileUploadForm,,,1,0,"10/30/2025, 2:30:37.392 PM","10/30/2025, 2:30:37.392 PM",0,NaN,,
CL0001,Desktop,Page,1,Company Information,,,1,0,"10/30/2025, 11:10:35.810 AM","10/30/2025, 11:10:35.810 AM",0,NaN,,
CL0001,Desktop,Page,518,Purchase Lines,,,1,0,"10/30/2025, 3:05:05.604 PM","10/30/2025, 3:05:05.604 PM",0,NaN,,
RT0005,Background,CodeUnit,5895,Inventory Adjustment,Base Application,Microsoft,1,0,"10/31/2025, 8:10:02.278 AM","10/31/2025, 8:10:02.278 AM",0,NaN,,Operation exceeded time threshold (SQL query)
RT0019,WebClient,CodeUnit,10025900,RSM Help functions,Wise e-Invoices,Wise,1,0,"10/30/2025, 12:05:10.428 PM","10/30/2025, 12:05:10.428 PM",0,328.07,328.07,Web Service Called (Outgoing): https://hagar-prod-api1
CL0001,Desktop,Page,10007993,Approved Invoices,,,1,0,"10/31/2025, 7:43:21.513 AM","10/31/2025, 7:43:21.513 AM",0,NaN,,
CL0001,Desktop,Page,579,Post Application,,,1,0,"10/31/2025, 7:50:45.114 AM","10/31/2025, 7:50:45.114 AM",0,NaN,,
CL0001,Desktop,Page,80261,HAG Import Message List,,,1,0,"10/30/2025, 8:58:34.378 AM","10/30/2025, 8:58:34.378 AM",0,NaN,,
CL0001,Desktop,Page,30,Item Card,,,1,0,"10/30/2025, 1:39:05.757 PM","10/30/2025, 1:39:05.757 PM",0,NaN,,
CL0001,Desktop,Page,80259,HAG Export Message List,,,1,0,"10/30/2025, 10:19:01.342 AM","10/30/2025, 10:19:01.342 AM",0,NaN,,
RT0005,Background,Table,32,Item Ledger Entry,Base Application,Microsoft,1,0,"10/31/2025, 8:10:07.285 AM","10/31/2025, 8:10:07.285 AM",0,NaN,,Operation exceeded time threshold (SQL query)
CL0001,Desktop,Page,29,Vendor Ledger Entries,,,1,0,"10/30/2025, 2:17:23.781 PM","10/30/2025, 2:17:23.781 PM",0,NaN,,
RT0005,WebServiceClient,Page,80114,HAG Customer API,Hagar Webshop,Hagar,1,0,"10/31/2025, 1:00:21.768 AM","10/31/2025, 1:00:21.768 AM",0,NaN,,Operation exceeded time threshold (SQL query)
RT0018,Background,CodeUnit,61002,PTEEventSubscriber,Storkaup,Storkaup,1,0,"10/30/2025, 9:30:29.606 AM","10/30/2025, 9:30:29.606 AM",0,NaN,,Operation exceeded time threshold (AL method)
CL0001,Desktop,Page,761,Trailing Sales Orders Setup,,,1,0,"10/30/2025, 1:23:08.493 PM","10/30/2025, 1:23:08.493 PM",0,NaN,,
RT0006,WebServiceClient,Report,10027221,REP Sales - Credit Memo Wise,Wise Reports,Wise,1,0,"10/30/2025, 10:55:46.019 AM","10/30/2025, 10:55:46.019 AM",0,769.64,769.64,Report rendered: 10027221 - Sales - Credit Memo Wise
RT0005,WebClient,Page,10008441,RSM Purchase Invoices List,Wise e-Invoices,Wise,1,0,"10/30/2025, 12:02:11.535 PM","10/30/2025, 12:02:11.535 PM",0,NaN,,Operation exceeded time threshold (SQL query)
CL0001,Desktop,Page,1304,Standard Sales - Quote,,,1,0,"10/31/2025, 8:17:57.268 AM","10/31/2025, 8:17:57.268 AM",0,NaN,,
CL0001,Desktop,Page,9026,Sales & Relationship Mgr. RC,,,1,0,"10/30/2025, 4:44:38.902 PM","10/30/2025, 4:44:38.902 PM",0,NaN,,
CL0001,Desktop,Page,104,Customer - Detail Trial Bal.,,,1,0,"10/30/2025, 8:36:53.341 AM","10/30/2025, 8:36:53.341 AM",0,NaN,,
CL0001,Desktop,Page,9599,Sales Invoice Line,,,1,0,"10/30/2025, 4:50:23.274 PM","10/30/2025, 4:50:23.274 PM",0,NaN,,
CL0001,Desktop,Page,233,Apply Vendor Entries,,,1,0,"10/31/2025, 7:28:00.612 AM","10/31/2025, 7:28:00.612 AM",0,NaN,,
RT0005,Background,CodeUnit,80253,HAG Export Processing,Hagar Connect,Hagar,1,0,"10/31/2025, 1:04:57.939 AM","10/31/2025, 1:04:57.939 AM",0,NaN,,Operation exceeded time threshold (SQL query)
CL0001,Desktop,Page,33,Customer Lookup,,,1,0,"10/31/2025, 7:04:55.839 AM","10/31/2025, 7:04:55.839 AM",0,NaN,,
RT0006,Background,Report,1511,Delegate Approval Requests,Base Application,Microsoft,1,0,"10/30/2025, 1:30:50.562 PM","10/30/2025, 1:30:50.562 PM",0,2.16,2.16,Report rendered: 1511 - Framselja samþykktarbeiðnir
CL0001,Desktop,Page,10008445,RSM XML Sales Invoices sent,,,1,0,"10/30/2025, 4:49:01.901 PM","10/30/2025, 4:49:01.901 PM",0,NaN,,
RT0018,Background,CodeUnit,80103,HAG Web Inventory Functions,Hagar Webshop,Hagar,1,0,"10/30/2025, 9:30:29.606 AM","10/30/2025, 9:30:29.606 AM",0,NaN,,Operation exceeded time threshold (AL method)
RT0018,Background,CodeUnit,10008432,RSM Write Xml Function,Wise e-Invoices,Wise,1,0,"10/31/2025, 8:22:02.098 AM","10/31/2025, 8:22:02.098 AM",0,NaN,,Operation exceeded time threshold (AL method)
CL0001,Desktop,Page,1345,Sales Price and Line Discounts,,,1,0,"10/30/2025, 11:24:49.003 AM","10/30/2025, 11:24:49.003 AM",0,NaN,,
CL0001,Desktop,Page,10000707,LSC Retail Item Categories,,,1,0,"10/30/2025, 1:50:41.459 PM","10/30/2025, 1:50:41.459 PM",0,NaN,,
CL0001,Desktop,Page,10016658,LSC Posted Customer Order List,,,1,0,"10/30/2025, 1:25:36.253 PM","10/30/2025, 1:25:36.253 PM",0,NaN,,
RT0018,Background,CodeUnit,50014,PTEUpdateUnitPrFromSalesPr,Storkaup,Storkaup,1,0,"10/31/2025, 12:30:14.527 AM","10/31/2025, 12:30:14.527 AM",0,NaN,,Operation exceeded time threshold (AL method)
