eventId,clientType,alObjectType,alObjectId,alObjectName,extensionName,extensionPublisher,Count,PercentOfTotal,FirstSeen [UTC],LastSeen [UTC],AvgPerHour,AvgExecutionMs,MaxExecutionMs,SampleMessage
CL0001,Desktop,Page,10016651,LSC Customer Order,,,23,0.01,"10/30/2025, 2:21:57.550 PM","10/30/2025, 3:29:54.350 PM",1,NaN,,
CL0001,Desktop,Page,-1,PageSearchForm,,,20,0.01,"10/30/2025, 8:40:53.056 AM","10/31/2025, 7:55:05.893 AM",0.8,NaN,,
CL0001,Desktop,Page,232,Apply Customer Entries,,,19,0.01,"10/30/2025, 1:40:20.698 PM","10/31/2025, 7:50:34.531 AM",0.8,NaN,,
CL0001,Desktop,Page,9212,Roles,,,19,0.01,"10/30/2025, 10:22:51.985 AM","10/30/2025, 2:37:19.410 PM",0.8,NaN,,
RT0018,Background,CodeUnit,99001467,LSC Scheduler Util,LS Central,LS Retail,18,0.01,"10/30/2025, 9:16:01.400 AM","10/31/2025, 8:16:05.101 AM",0.8,NaN,,Operation exceeded time threshold (AL method)
CL0001,Desktop,Page,9204,User Settings,,,17,0.01,"10/30/2025, 10:22:50.521 AM","10/30/2025, 2:37:18.057 PM",0.7,NaN,,
RT0004,WebClient,,,,,,17,0.01,"10/30/2025, 11:59:23.122 AM","10/30/2025, 3:02:25.445 PM",0.7,46.36,202.48,Authorization Succeeded (Open Company)
CL0001,Desktop,Page,1173,Document Attachment Details,,,16,0.01,"10/30/2025, 8:44:53.850 AM","10/30/2025, 4:04:38.961 PM",0.7,NaN,,
CL0001,Desktop,Page,-1,Lookupform18_Customer,,,15,0.01,"10/30/2025, 9:54:50.601 AM","10/30/2025, 3:30:53.296 PM",0.6,NaN,,
CL0001,Desktop,Page,300,Ship-to Address,,,15,0.01,"10/30/2025, 8:34:43.628 AM","10/30/2025, 2:48:33.413 PM",0.6,NaN,,
AL0000GKL,Background,CodeUnit,4615,MailKit Client,Email - SMTP API,Microsoft,13,0.01,"10/30/2025, 9:23:24.177 AM","10/31/2025, 8:25:45.393 AM",0.5,NaN,,Sent email.
CL0001,Desktop,Page,9022,Business Manager Role Center,,,13,0.01,"10/30/2025, 10:23:23.408 AM","10/31/2025, 7:50:00.275 AM",0.5,NaN,,
AL0000GKJ,Background,CodeUnit,4615,MailKit Client,Email - SMTP API,Microsoft,13,0.01,"10/30/2025, 9:23:24.161 AM","10/31/2025, 8:25:45.385 AM",0.5,NaN,,Connected to SMTP server.
CL0001,Desktop,Page,700,Error Messages,,,13,0.01,"10/30/2025, 9:23:42.269 AM","10/31/2025, 8:01:30.947 AM",0.5,NaN,,
CL0001,Desktop,Page,10008441,RSM Purchase Invoices List,,,13,0.01,"10/30/2025, 8:40:58.870 AM","10/31/2025, 7:44:01.937 AM",0.5,NaN,,
CL0001,Desktop,Page,9307,Purchase Order List,,,12,0.01,"10/30/2025, 11:27:04.478 AM","10/31/2025, 7:04:25.575 AM",0.5,NaN,,
CL0001,Desktop,Page,5052,Contact List,,,11,0.01,"10/30/2025, 8:30:49.840 AM","10/30/2025, 2:43:41.604 PM",0.5,NaN,,
RT0019,Background,CodeUnit,10027351,BaseCustomerAccess,Wise Base,Wise,10,0.01,"10/30/2025, 11:59:46.423 AM","10/30/2025, 3:01:29.449 PM",0.4,21070.69,21119.43,Web Service Called (Outgoing): https://prod-09.northeurope.logic.azure.com
RT0018,Background,CodeUnit,10027351,BaseCustomerAccess,Wise Base,Wise,10,0.01,"10/30/2025, 11:59:46.423 AM","10/30/2025, 3:01:29.449 PM",0.4,NaN,,Operation exceeded time threshold (AL method)
